ligand,ID,CAN SMILES,SMILES,P in rings,diff R,Formula:Formula,MolWt:MWt,AtomCount:nAtom,RotatableBondsCount:nRotB,Virtual,Chiral,diast,diast,PH,PB,PC,PN,PO,PF,PSi,PS,PC3,PAr3,CPN,CPO,P[N]3,P(OR)3,Phosphoramidite,PON2,PXY,,rkey,[Fe],Buchwald 1,Buchwald 2,PPhR2,Cy2PR,Cy checked?,Pkey,WuPhos,CAS PR3,COM,sigma_and_strem
2-C5 monoXantphos,00000023,CC1(C)c2ccccc2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CC1(C)c2cccc(c2Oc2c1cccc2)P(c1ccccc1)c1ccccc1,0,2,C27H23OP,394,52,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1333321-80-4,0,#REF!
3-C9,00000024,COc1ccc2ccccc2c1-c1ccccc1P(c1ccccc1)c1ccccc1,COc1ccc2c(c1c1ccccc1P(c1ccccc1)c1ccccc1)cccc2,0,2,C29H23OP,418,54,5,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,"1160620-58-5, 931104-12-0 (1S)",0,#REF!
PhXPhos,00000025,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1ccccc1)c1ccccc1)C(C)C)C(C)C)C,0,2,C33H37P,465,71,7,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,819867-23-7,1,1
35CF3_PhSPhos,00000026,COc1cccc(OC)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,COc1cccc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC,0,2,C30H19F12O2P,670,64,10,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,1807456-95-6,0,#REF!
PhSPhos-D2 (oTolSPhos),00000027,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1C)c1ccccc1C,COc1cccc(c1c1ccccc1P(c1ccccc1C)c1ccccc1C)OC,0,2,C28H27O2P,426,58,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,2252175-55-4,0,#REF!
4CF3_PhSPhos,00000028,COc1cccc(OC)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,COc1cccc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)OC,0,2,C28H21F6O2P,534,58,8,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,1255536-51-6,0,#REF!
35CF3_PhXPhos,00000029,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(C)C)C(C)C)C,0,2,C37H33F12P,737,83,11,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,1198293-78-5,0,#REF!
PtBu2Cy,00000030,CC(C)(C)P(C1CCCCC1)C(C)(C)C,CC(P(C(C)(C)C)C1CCCCC1)(C)C,0,2,C14H29P,228,44,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,436865-11-1,1,1
PtBu2Ph,00000031,CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccccc1)(C)C,0,2,C14H23P,222,38,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,32673-25-9,1,1
PtBuCy2,00000032,CC(C)(C)P(C1CCCCC1)C1CCCCC1,CC(P(C1CCCCC1)C1CCCCC1)(C)C,0,2,C16H31P,254,48,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,93634-87-8,1,1
35CF3_PhRuPhos,00000033,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(Oc1cccc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC(C)C)C,0,2,C34H27F12O2P,727,76,12,1,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,not on scifinder,0,#REF!
4CF3_PhRuPhos,00000034,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,CC(Oc1cccc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)OC(C)C)C,0,2,C32H29F6O2P,591,70,10,1,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,not on scifinder,0,#REF!
4CF3_PhXPhos,00000035,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)C(C)C)C(C)C)C,0,2,C35H35F6P,601,77,9,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,2252175-56-5,0,#REF!
"AZ-Phos, PtBu2(2(4-Ph-Ph)-Ph)",00000036,CC(C)(C)P(c1ccccc1-c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC(C)(C)P(c1c(c2ccc(c3ccccc3)cc2)cccc1)C(C)(C)C,0,2,C26H31P,374,58,5,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,2102407-86-1,0,#REF!
"cBRIDP, MoPhos",00000037,CC(C)(C)P(C(C)(C)C)[C@]1(C)CC1(c1ccccc1)c1ccccc1,CC(P([C@]1(C)CC1(c1ccccc1)c1ccccc1)C(C)(C)C)(C)C,0,2,C24H33P,352,58,5,,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,742103-27-1,1,1
Cy-cBRIDP,00000038,C[C@@]1(P(C2CCCCC2)C2CCCCC2)CC1(c1ccccc1)c1ccccc1,C[C@]1(CC1(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,0,2,C28H37P,405,66,5,,1,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,1023330-38-2,1,1
Cy-vBRIDP,00000039,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,0,2,C27H35P,391,63,5,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,384842-24-4,1,1
HiersoPhos(Ph),00000040,Cc1ccc(P(c2ccccc2)c2ccc(C)o2)o1,CC1=CC=C(O1)P(C2=CC=CC=C2)C3=CC=C(C)O3,0,2,C16H15O2P,270,34,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,not on scifinder,0,#REF!
"PnBu2_2-imidazolePh, Imidazol_Ph_PPnBu2",00000041,CCCCP(CCCC)c1ccccc1-n1ccnc1,CCCCP(c1ccccc1n1cncc1)CCCC,0,2,C17H25N2P,288,45,8,1,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,not on scifinder,0,#REF!
JohnPhos,00000042,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccccc1c1ccccc1)(C)C,0,2,C20H27P,298,48,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,224311-51-7,1,1
NPh-imidazole_PiBu2,00000043,CC(C)CP(CC(C)C)c1nccn1-c1ccccc1,CC(CP(c1nccn1c1ccccc1)CC(C)C)C,0,2,C17H25N2P,288,45,6,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,1610605-28-1,1,#REF!
"NPh-Pyrrole-PCy2, CataCXiumPCy",00000044,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1cccn1c1ccccc1)C1CCCCC1,0,2,C22H30NP,339,54,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,672937-60-9,1,1
NPh-Pyrrole-PEt2,00000045,CCP(CC)c1cccn1-c1ccccc1,CCP(c1cccn1c1ccccc1)CC,0,2,C14H18NP,231,34,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,1481698-42-3,1,#REF!
NPh-Pyrrole-PiBu2,00000046,CC(C)CP(CC(C)C)c1cccn1-c1ccccc1,CC(CP(c1cccn1c1ccccc1)CC(C)C)C,0,2,C18H26NP,287,46,6,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,1610605-60-1,1,#REF!
NPh-Pyrrole-PiPr2,00000047,CC(C)P(c1cccn1-c1ccccc1)C(C)C,CC(P(c1cccn1c1ccccc1)C(C)C)C,0,2,C16H22NP,259,40,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,1257847-61-2,1,#REF!
NPh-Pyrrole-PnBu2,00000048,CCCCP(CCCC)c1cccn1-c1ccccc1,CCCCP(c1cccn1c1ccccc1)CCCC,0,2,C18H26NP,287,46,8,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,1610605-27-0,1,#REF!
P(246iPrPh)3,00000049,CC(C)c1cc(C(C)C)c(P(c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1P(C2=C(C=C(C(C)C)C=C2C(C)C)C(C)C)C(C(C(C)C)=CC(C(C)C)=C3)=C3C(C)C,0,1,C45H69P,641,115,12,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,476486-46-1,0,#REF!
"P(246OMePh)3, TTMPP",00000050,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,COc1cc(OC)cc(c1P(c1c(OC)cc(cc1OC)OC)c1c(OC)cc(cc1OC)OC)OC,0,1,C27H33O9P,533,70,12,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,91608-15-0,1,1
P(26iPrPh)3,00000051,CC(C)c1cccc(C(C)C)c1P(c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,CC(C)C1=CC=CC(C(C)C)=C1P(C2=C(C=CC=C2C(C)C)C(C)C)C(C(C(C)C)=CC=C3)=C3C(C)C,0,1,C36H51P,515,88,9,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,856259-64-8,0,#REF!
P(26Me4OMePh)3,00000052,COc1cc(C)c(P(c2c(C)cc(OC)cc2C)c2c(C)cc(OC)cc2C)c(C)c1,COc1cc(C)c(c(c1)C)P(c1c(C)cc(cc1C)OC)c1c(C)cc(cc1C)OC,0,1,C27H33O3P,437,64,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,133833-73-5,0,#REF!
P(26OMePh)3,00000053,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,COc1cccc(c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC)OC,0,1,C24H27O6P,442,58,9,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,85417-41-0,1,1
"P(2-furyl)3, TFP",00000054,c1coc(P(c2ccco2)c2ccco2)c1,c1coc(c1)P(c1ccco1)c1ccco1,0,1,C12H9O3P,232,25,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,5518-52-5,1,1
P(2iPr4OMePh)3,00000055,COc1ccc(P(c2ccc(OC)cc2C(C)C)c2ccc(OC)cc2C(C)C)c(C(C)C)c1,COc1ccc(c(c1)C(C)C)P(c1ccc(cc1C(C)C)OC)c1ccc(cc1C(C)C)OC,0,1,C30H39O3P,479,73,9,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,849192-02-5,0,#REF!
P(2Me4OMePh)3,00000056,COc1ccc(P(c2ccc(OC)cc2C)c2ccc(OC)cc2C)c(C)c1,COc1ccc(c(c1)C)P(c1ccc(cc1C)OC)c1ccc(cc1C)OC,0,1,C24H27O3P,394,55,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,149453-66-7,0,#REF!
P(DEA)2Ph,00000057,CCN(CC)P(c1ccccc1)N(CC)CC,CCN(P(C1=CC=CC=C1)N(CC)CC)CC,0,2,C14H25N2P,252,42,7,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,7,,1636-14-2,1,1
P(DiPA)2Ph,00000058,CC(C)N(C(C)C)P(c1ccccc1)N(C(C)C)C(C)C,CC(C)N(P(C1=CC=CC=C1)N(C(C)C)C(C)C)C(C)C,0,2,C18H33N2P,308,54,7,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,7,,81261-28-1,0,#REF!
P(DMA)2Ph,00000059,CN(C)P(c1ccccc1)N(C)C,CN(P(C1=CC=CC=C1)N(C)C)C,0,2,C10H17N2P,196,30,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,7,,6143-71-1,1,#REF!
P(mesityl)3,00000060,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)cc(c1P(c1c(C)cc(cc1C)C)c1c(C)cc(cc1C)C)C,0,1,C27H33P,389,61,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,23897-15-6,1,1
P(4FPh)3,00000061,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,Fc1ccc(cc1)P(c1ccc(cc1)F)c1ccc(cc1)F,0,1,C18H12F3P,316,34,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,18437-78-0,1,1
P(4OMePh)3,00000062,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,COc1ccc(cc1)P(c1ccc(cc1)OC)c1ccc(cc1)OC,0,1,C21H21O3P,352,46,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,855-38-9,1,1
P(2iPrPh)3,00000063,CC(C)c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C,CC(c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C)C,0,1,C27H33P,389,61,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,139026-11-2,1,#REF!
"PAd2Bn, cataCXium Abn",00000064,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(C2)CC(C1)C3)Cc1ccccc1,C1[C@@H]2C[C@@H]3C[C@H]1C[C@](C2)(C3)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)Cc1ccccc1,0,2,C27H37P,393,65,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,395116-70-8,1,1
PBn3,00000065,c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,P(CC1=CC=CC=C1)(CC2=CC=CC=C2)CC3=CC=CC=C3,0,1,C21H21P,304,43,6,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,7650-89-7,1,1
PCy2Et,00000066,CCP(C1CCCCC1)C1CCCCC1,CCP(C1CCCCC1)C1CCCCC1,0,2,C14H27P,226,42,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,46392-44-3,1,1
PCy2oTol,00000067,Cc1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccccc1P(C1CCCCC1)C1CCCCC1,0,2,C19H29P,288,49,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,173593-25-4,1,1
PCy2Ph,00000068,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1ccccc1)C1CCCCC1,0,2,C18H27P,274,46,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,6476-37-5,1,1
"PCy2(4NMe2Ph), CyAtaPhos",00000069,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CN(c1ccc(cc1)P(C1CCCCC1)C1CCCCC1)C,0,2,C20H32NP,317,54,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,40438-64-0,1,1
PCyp3,00000070,C1CCC(P(C2CCCC2)C2CCCC2)C1,C1CCC(C1)P(C1CCCC1)C1CCCC1,0,1,C15H27P,238,43,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,7650-88-6,1,1
PtBu2_4PhCF3,00000071,CC(C)(C)P(c1ccc(C(F)(F)F)cc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccc(cc1)C(F)(F)F)(C)C,0,2,C15H22F3P,290,41,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1228182-34-0,1,1
PEt2Ph,00000072,CCP(CC)c1ccccc1,CCP(c1ccccc1)CC,0,2,C10H15P,166,26,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1605-53-4,1,1
PEtPh2,00000073,CCP(c1ccccc1)c1ccccc1,CCP(c1ccccc1)c1ccccc1,0,2,C14H15P,214,30,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,607-01-2,1,1
